Date,S&P 500,NASDAQ,TSLA,MSFT,NVDA,AMZN,GOOGL,META,V,AAPL
2024-04-16,5051.41015625,15865.25,157.11000061035156,414.5799865722656,87.41500091552734,183.32000732421875,154.39999389648438,499.760009765625,271.3500061035156,169.3800048828125
2024-04-17,5022.2099609375,15683.3701171875,155.4499969482422,411.8399963378906,84.03500366210938,181.27999877929688,155.47000122070312,494.1700134277344,272.69000244140625,168.0
2024-04-18,5011.1201171875,15601.5,149.92999267578125,404.2699890136719,84.6709976196289,179.22000122070312,156.00999450683594,501.79998779296875,271.3699951171875,167.0399932861328
2024-04-19,4967.22998046875,15282.009765625,147.0500030517578,399.1199951171875,76.19999694824219,174.6300048828125,154.08999633789062,481.07000732421875,269.7799987792969,165.0
2024-04-22,5010.60009765625,15451.3095703125,142.0500030517578,400.9599914550781,79.51799774169922,177.22999572753906,156.27999877929688,481.7300109863281,272.3299865722656,165.83999633789062
2024-04-23,5070.5498046875,15696.6396484375,144.67999267578125,407.57000732421875,82.4229965209961,179.5399932861328,158.25999450683594,496.1000061035156,274.1099853515625,166.89999389648438
2024-04-24,5071.6298828125,15712.75,162.1300048828125,409.05999755859375,79.677001953125,176.58999633789062,159.1300048828125,493.5,275.0199890136719,169.02000427246094
2024-04-25,5048.419921875,15611.759765625,170.17999267578125,399.0400085449219,82.63200378417969,173.6699981689453,156.0,441.3800048828125,275.1600036621094,169.88999938964844
2024-04-26,5099.9599609375,15927.900390625,168.2899932861328,406.32000732421875,87.73500061035156,179.6199951171875,171.9499969482422,443.2900085449219,274.5199890136719,169.3000030517578
2024-04-29,5116.169921875,15983.080078125,194.0500030517578,402.25,87.75700378417969,180.9600067138672,166.14999389648438,432.6199951171875,271.8399963378906,173.5
2024-04-30,5035.68994140625,15657.8203125,183.27999877929688,389.3299865722656,86.4020004272461,175.0,162.77999877929688,430.1700134277344,268.6099853515625,170.3300018310547
2024-05-01,5018.39013671875,15605.48046875,179.99000549316406,394.94000244140625,83.04100036621094,179.0,163.86000061035156,439.19000244140625,267.32000732421875,169.3000030517578
2024-05-02,5064.2001953125,15840.9599609375,180.00999450683594,397.8399963378906,85.81700134277344,184.72000122070312,166.6199951171875,441.67999267578125,267.6099853515625,173.02999877929688
2024-05-03,5127.7900390625,16156.330078125,181.19000244140625,406.6600036621094,88.78900146484375,186.2100067138672,167.24000549316406,451.9599914550781,268.489990234375,183.3800048828125
2024-05-06,5180.740234375,16349.25,184.75999450683594,413.5400085449219,92.13999938964844,188.6999969482422,168.10000610351562,465.67999267578125,272.6700134277344,181.7100067138672
2024-05-07,5187.7001953125,16332.5595703125,177.80999755859375,409.3399963378906,90.55400085449219,188.75999450683594,171.25,468.239990234375,276.4599914550781,182.39999389648438
2024-05-08,5187.669921875,16302.759765625,174.72000122070312,410.5400085449219,90.41200256347656,188.0,169.3800048828125,472.6000061035156,277.19000244140625,182.74000549316406
2024-05-09,5214.080078125,16346.259765625,171.97000122070312,412.32000732421875,88.74700164794922,189.5,169.9600067138672,475.4200134277344,278.5400085449219,184.57000732421875
